"","symbol","date","open","high","low","close","volume","adjusted"
"1","GLD",2013-01-02,163.490005493164,164.139999389648,163.139999389648,163.169998168945,10431800,163.169998168945
"2","GLD",2013-01-03,162.479995727539,162.880004882812,160.830001831055,161.199996948242,16117500,161.199996948242
"3","GLD",2013-01-04,159.520004272461,160.630004882812,158.889999389648,160.440002441406,19179800,160.440002441406
"4","GLD",2013-01-07,159.360000610352,159.960006713867,159.149993896484,159.429992675781,9361800,159.429992675781
"5","GLD",2013-01-08,160.460006713867,160.990005493164,160.009994506836,160.559997558594,7694800,160.559997558594
"6","GLD",2013-01-09,160.770004272461,160.830001831055,159.899993896484,160.490005493164,8334200,160.490005493164
"7","GLD",2013-01-10,161.610000610352,162.559997558594,161.610000610352,161.979995727539,11432600,161.979995727539
"8","GLD",2013-01-11,161.860000610352,161.899993896484,160.110000610352,161.059997558594,13675600,161.059997558594
"9","GLD",2013-01-14,161.880004882812,161.970001220703,161.130004882812,161.539993286133,7289000,161.539993286133
"10","GLD",2013-01-15,162.800003051758,163.169998168945,162.350006103516,162.559997558594,10077800,162.559997558594
"11","GLD",2013-01-16,162.419998168945,163.029998779297,162.149993896484,162.649993896484,9214700,162.649993896484
"12","GLD",2013-01-17,161.940002441406,164.399993896484,161.830001831055,163.350006103516,14911400,163.350006103516
"13","GLD",2013-01-18,163.949996948242,163.970001220703,163.020004272461,163.089996337891,10038100,163.089996337891
"14","GLD",2013-01-22,163.479995727539,164.220001220703,163.369995117188,163.669998168945,8587900,163.669998168945
"15","GLD",2013-01-23,163.919998168945,163.949996948242,163,163.210006713867,6697000,163.210006713867
"16","GLD",2013-01-24,161.979995727539,162.270004272461,161.179992675781,161.419998168945,13188300,161.419998168945
"17","GLD",2013-01-25,160.559997558594,161.039993286133,160.309997558594,160.649993896484,9037400,160.649993896484
"18","GLD",2013-01-28,160.240005493164,160.729995727539,160.020004272461,160.289993286133,8491600,160.289993286133
"19","GLD",2013-01-29,161.009994506836,161.309997558594,160.690002441406,160.990005493164,7364900,160.990005493164
"20","GLD",2013-01-30,162.679992675781,163.039993286133,162.029998779297,162.190002441406,12010000,162.190002441406
"21","GLD",2013-01-31,161.619995117188,161.809997558594,160.470001220703,161.199996948242,9334000,161.199996948242
"22","GLD",2013-02-01,162.660003662109,162.770004272461,160.869995117188,161.449996948242,12904300,161.449996948242
"23","GLD",2013-02-04,161.190002441406,162.419998168945,161.149993896484,162,7354900,162
"24","GLD",2013-02-05,162.75,162.789993286133,161.330001831055,161.960006713867,8979400,161.960006713867
"25","GLD",2013-02-06,162.130004882812,162.630004882812,161.990005493164,162.389999389648,6138700,162.389999389648
"26","GLD",2013-02-07,161.240005493164,162.960006713867,161.130004882812,161.839996337891,12827200,161.839996337891
"27","GLD",2013-02-08,161.460006713867,162.020004272461,161.199996948242,161.570007324219,6085900,161.570007324219
"28","GLD",2013-02-11,159.779998779297,159.979995727539,159.25,159.699996948242,12083500,159.699996948242
"29","GLD",2013-02-12,159.350006103516,160.050003051758,158.880004882812,159.889999389648,7632300,159.889999389648
"30","GLD",2013-02-13,159.600006103516,159.639999389648,158.770004272461,159.050003051758,8961300,159.050003051758
"31","GLD",2013-02-14,159.309997558594,159.649993896484,158.039993286133,158.350006103516,12410200,158.350006103516
"32","GLD",2013-02-15,156.419998168945,156.580001831055,154.559997558594,155.759994506836,23374100,155.759994506836
"33","GLD",2013-02-19,155.800003051758,155.839996337891,154.929992675781,155.330001831055,11803900,155.330001831055
"34","GLD",2013-02-20,153.899993896484,153.929992675781,150.839996337891,151.440002441406,30924000,151.440002441406
"35","GLD",2013-02-21,152,153.410003662109,151.899993896484,152.619995117188,17964800,152.619995117188
"36","GLD",2013-02-22,152.259994506836,152.990005493164,151.929992675781,152.970001220703,10093200,152.970001220703
"37","GLD",2013-02-25,153.520004272461,154.559997558594,153.309997558594,154.339996337891,9488200,154.339996337891
"38","GLD",2013-02-26,154.389999389648,156.800003051758,153.320007324219,156.220001220703,18182300,156.220001220703
"39","GLD",2013-02-27,155.460006713867,155.600006103516,154.080001831055,154.570007324219,9596100,154.570007324219
"40","GLD",2013-02-28,154.089996337891,154.160003662109,152.389999389648,153,14864400,153
"41","GLD",2013-03-01,153.160003662109,153.610000610352,152.139999389648,152.440002441406,11178800,152.440002441406
"42","GLD",2013-03-04,152.449996948242,152.740005493164,151.869995117188,152.300003051758,6643800,152.300003051758
"43","GLD",2013-03-05,153.100006103516,153.389999389648,152.110000610352,152.380004882812,10804200,152.380004882812
"44","GLD",2013-03-06,152.169998168945,153.380004882812,151.649993896484,153.229995727539,10856000,153.229995727539
"45","GLD",2013-03-07,153.020004272461,153.210006713867,152.399993896484,152.690002441406,6586700,152.690002441406
